Epoch: 4 | Step: 1200 | Train Loss: 1.5623 | eps: 0.70
Epoch: 4 | Step: 1400 | Train Loss: 1.5611 | eps: 0.70
Epoch: 4 | Step: 1600 | Train Loss: 1.5609 | eps: 0.70
Epoch: 4 | Step: 1800 | Train Loss: 1.5586 | eps: 0.70
Epoch: 4 | Step: 2000 | Train Loss: 1.5594 | eps: 0.70
Epoch: 4 | Step: 2200 | Train Loss: 1.5588 | eps: 0.70
Epoch: 4 | Step: 2400 | Train Loss: 1.5587 | eps: 0.70
Epoch: 4 | Step: 2600 | Train Loss: 1.5599 | eps: 0.70
Epoch: 4 | Step: 2800 | Train Loss: 1.5597 | eps: 0.70
Epoch: 4 | Step: 3000 | Train Loss: 1.5588 | eps: 0.70
Epoch: 4 | Step: 3200 | Train Loss: 1.5593 | eps: 0.71
Epoch: 4 | Step: 3400 | Train Loss: 1.5600 | eps: 0.71
Epoch: 4 | Step: 3600 | Train Loss: 1.5605 | eps: 0.71
Epoch: 4 | Step: 3800 | Train Loss: 1.5601 | eps: 0.71
Epoch: 4 | Step: 4000 | Train Loss: 1.5603 | eps: 0.71
Epoch: 4 | Step: 4200 | Train Loss: 1.5602 | eps: 0.71
Epoch: 4 | Step: 4400 | Train Loss: 1.5598 | eps: 0.71
Epoch: 4 | Step: 4600 | Train Loss: 1.5602 | eps: 0.71
Epoch: 4 | Step: 4800 | Train Loss: 1.5594 | eps: 0.71
Epoch: 4 | Step: 5000 | Train Loss: 1.5593 | eps: 0.71
Epoch 4: Train Loss: 1.5589 | Train Accuracy: 28.64%
Epoch 4: Validation Accuracy: 28.06%
Epoch: 5 | Step: 200 | Train Loss: 1.5474 | eps: 0.71
Epoch: 5 | Step: 400 | Train Loss: 1.5504 | eps: 0.71
Epoch: 5 | Step: 600 | Train Loss: 1.5541 | eps: 0.71
Epoch: 5 | Step: 800 | Train Loss: 1.5546 | eps: 0.71
Epoch: 5 | Step: 1000 | Train Loss: 1.5538 | eps: 0.71
Epoch: 5 | Step: 1200 | Train Loss: 1.5530 | eps: 0.71
Epoch: 5 | Step: 1400 | Train Loss: 1.5506 | eps: 0.71
Epoch: 5 | Step: 1600 | Train Loss: 1.5486 | eps: 0.71
Epoch: 5 | Step: 1800 | Train Loss: 1.5465 | eps: 0.71
Epoch: 5 | Step: 2000 | Train Loss: 1.5473 | eps: 0.71
Epoch: 5 | Step: 2200 | Train Loss: 1.5466 | eps: 0.71
Epoch: 5 | Step: 2400 | Train Loss: 1.5469 | eps: 0.71
Epoch: 5 | Step: 2600 | Train Loss: 1.5479 | eps: 0.72
Epoch: 5 | Step: 2800 | Train Loss: 1.5478 | eps: 0.72
Epoch: 5 | Step: 3000 | Train Loss: 1.5485 | eps: 0.72
Epoch: 5 | Step: 3200 | Train Loss: 1.5482 | eps: 0.72
Epoch: 5 | Step: 3400 | Train Loss: 1.5487 | eps: 0.72
Epoch: 5 | Step: 3600 | Train Loss: 1.5493 | eps: 0.72
Epoch: 5 | Step: 3800 | Train Loss: 1.5493 | eps: 0.72
Epoch: 5 | Step: 4000 | Train Loss: 1.5492 | eps: 0.72
Epoch: 5 | Step: 4200 | Train Loss: 1.5490 | eps: 0.72
Epoch: 5 | Step: 4400 | Train Loss: 1.5493 | eps: 0.72
Epoch: 5 | Step: 4600 | Train Loss: 1.5503 | eps: 0.72
Epoch: 5 | Step: 4800 | Train Loss: 1.5504 | eps: 0.72
Epoch: 5 | Step: 5000 | Train Loss: 1.5499 | eps: 0.72
Epoch 5: Train Loss: 1.5499 | Train Accuracy: 28.89%
Epoch 5: Validation Accuracy: 29.88%
Epoch: 6 | Step: 200 | Train Loss: 1.5488 | eps: 0.72
Epoch: 6 | Step: 400 | Train Loss: 1.5362 | eps: 0.72
Epoch: 6 | Step: 600 | Train Loss: 1.5416 | eps: 0.72
Epoch: 6 | Step: 800 | Train Loss: 1.5406 | eps: 0.72
Epoch: 6 | Step: 1000 | Train Loss: 1.5402 | eps: 0.72
Epoch: 6 | Step: 1200 | Train Loss: 1.5438 | eps: 0.72
Epoch: 6 | Step: 1400 | Train Loss: 1.5442 | eps: 0.72
Epoch: 6 | Step: 1600 | Train Loss: 1.5432 | eps: 0.72
Epoch: 6 | Step: 1800 | Train Loss: 1.5422 | eps: 0.72
Epoch: 6 | Step: 2000 | Train Loss: 1.5414 | eps: 0.72
Epoch: 6 | Step: 2200 | Train Loss: 1.5420 | eps: 0.73
Epoch: 6 | Step: 2400 | Train Loss: 1.5430 | eps: 0.73
Epoch: 6 | Step: 2600 | Train Loss: 1.5421 | eps: 0.73
Epoch: 6 | Step: 2800 | Train Loss: 1.5417 | eps: 0.73
Epoch: 6 | Step: 3000 | Train Loss: 1.5417 | eps: 0.73
Epoch: 6 | Step: 3200 | Train Loss: 1.5411 | eps: 0.73
Epoch: 6 | Step: 3400 | Train Loss: 1.5424 | eps: 0.73
Epoch: 6 | Step: 3600 | Train Loss: 1.5420 | eps: 0.73
Epoch: 6 | Step: 3800 | Train Loss: 1.5419 | eps: 0.73
Epoch: 6 | Step: 4000 | Train Loss: 1.5413 | eps: 0.73
Epoch: 6 | Step: 4200 | Train Loss: 1.5407 | eps: 0.73
Epoch: 6 | Step: 4400 | Train Loss: 1.5402 | eps: 0.73
Epoch: 6 | Step: 4600 | Train Loss: 1.5404 | eps: 0.73
Epoch: 6 | Step: 4800 | Train Loss: 1.5411 | eps: 0.73
Epoch: 6 | Step: 5000 | Train Loss: 1.5410 | eps: 0.73
